controller_class,route_prefix,action,service_class,service_method,domain_package,related_templates,related_tables,notes
AdminMainController,/api/admin/auth-groups/page,GET authGroupPageApi,AuthGroupManageService,"selectAuthorList;selectFeatureAssignmentStats;selectFeatureCatalog;selectAuthorFeatureCodes;selectAdminEssentialIdByUserId;selectUserFeatureOverrides",egovframework.com.feature.admin,"auth_group.html; auth_group_en.html","COMTNAUTHORINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE; COMTNUSERFEATUREOVERRIDE","권한 그룹/기능 카탈로그는 현재 관리자 grantable 범위로 필터링"
AdminMainController,/api/admin/auth-groups/features,POST saveAuthGroupFeaturesApi,AuthGroupManageService,"selectAuthorFeatureCodes;saveAuthorFeatureRelations;selectAdminEssentialIdByUserId;selectUserFeatureOverrides",egovframework.com.feature.admin,"auth_group.html; auth_group_en.html","COMTNAUTHORFUNCTIONRELATE; COMTNUSERFEATUREOVERRIDE","현재 관리자가 수정 가능한 기능만 반영하고 비관리 기능은 기존 상태 보존, 감사로그 기록"
AdminMainController,/api/admin/member/edit,POST memberEditSubmitApi,"EnterpriseMemberService; AuthGroupManageService","updateEntrprsmber;updateEnterpriseUserRoleAssignment;replaceUserFeatureOverrides;selectAuthorFeatureCodes;selectUserFeatureOverrides",egovframework.com.feature.admin,"member_edit.html; member_edit_en.html","COMTNENTRPRSMBER; COMTNEMPLYRSCRTYESTBS; COMTNUSERFEATUREOVERRIDE","회원 권한 저장 시 instt_id 범위 검증, grantable 기능만 수정, 비관리 기능 보존"
AdminMainController,/api/admin/member/admin-account/permissions,POST adminAccountPermissionsSubmitApi,AuthGroupManageService,"updateAdminRoleAssignment;replaceUserFeatureOverrides;selectAuthorFeatureCodes",egovframework.com.feature.admin,"admin_account.html; admin_account_en.html","COMTNEMPLYRSCRTYESTBS; COMTNUSERFEATUREOVERRIDE","관리자 권한 저장과 기능 예외권한 변경 감사로그 기록"
AdminSystemCodeController,/admin/system/page-management,GET pageManagement,"AdminCodeManageService; AuthGroupManageService",selectPageManagementList;countAuthorFeatureRelationsByFeatureCode;countUserFeatureOverridesByFeatureCode,egovframework.com.feature.admin,"page_management.html; page_management_en.html","COMTCCMMNDETAILCODE; COMTNMENUINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE; COMTNUSERFEATUREOVERRIDE","목록 조회 시 페이지별 기본 VIEW 영향도와 차단 링크 렌더링 데이터 구성"
AdminSystemCodeController,/admin/system/page-management/create,POST createPageManagement,"AdminCodeManageService; MenuFeatureManageService",insertPageManagement;insertMenuFeature,egovframework.com.feature.admin,"page_management.html; page_management_en.html","COMTCCMMNDETAILCODE; COMTNMENUINFO; COMTNMENUFUNCTIONINFO","페이지 등록 후 기본 PAGE_CODE_VIEW 기능 자동 생성"
AdminContentMenuController,/admin/content/menu/create-page,POST createMenuManagedPageApi,"AdminCodeManageService; MenuInfoService; MenuFeatureManageService",insertPageManagement;saveMenuOrder;insertMenuFeature,egovframework.com.feature.admin,"menu_management.html; menu_management_en.html","COMTCCMMNDETAILCODE; COMTNMENUINFO; COMTNMENUORDER; COMTNMENUFUNCTIONINFO; AUDIT_EVENT","메뉴 관리 빠른 등록: 선택 그룹 하위 다음 8자리 페이지 코드 자동 생성, 메뉴 메타/기본 VIEW/초기 정렬/감사로그 동시 처리"
AdminPopupController,/admin/content/popup_list,GET popupList,AdminPopupManagementService,buildListPayload,egovframework.com.feature.admin,React admin shell route,"COMTNMENUINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE","팝업 목록 React shell 진입과 page-data endpoint가 같은 서비스 payload를 사용"
AdminPopupController,/admin/api/admin/content/popup,GET popupListApi,AdminPopupManagementService,buildListPayload,egovframework.com.feature.admin,Popup list JSON payload,"COMTNMENUINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE","검색어·상태·대상 기준 팝업 목록, 요약 카드, 선택 상세를 합성"
AdminPostManagementController,/admin/content/post_list,GET postManagement,AdminPostManagementService,buildPagePayload,egovframework.com.feature.admin,React admin shell route,"COMTNMENUINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE","게시글 목록 React shell 진입과 page-data endpoint가 같은 서비스 payload를 사용"
ScreenCommandCenterServiceImpl,/api/admin/help-management/screen-command/page,GET getScreenCommandPage,"UiManifestRegistryService; AuthGroupManageService",selectActivePageOptions;getPageRegistry;syncPageRegistry,egovframework.com.feature.admin,"help-management screen command; full-stack management; sr-workbench","UI_PAGE_MANIFEST; UI_COMPONENT_REGISTRY; UI_PAGE_COMPONENT_MAP; COMTNMENUINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE","정적 페이지 목록 외에 메뉴 생성 시 자동 등록된 draft manifest page도 screen command와 SR 워크벤치 목록에 합류하며, draft page는 route/domain/layout 기준 이벤트·API·스키마 후보를 자동 생성"
AdminSystemCodeController,/admin/system/page-management/update,POST updatePageManagement,"AdminCodeManageService; MenuFeatureManageService",updatePageManagement;updateMenuFeatureMetadata,egovframework.com.feature.admin,"page_management.html; page_management_en.html","COMTCCMMNDETAILCODE; COMTNMENUINFO; COMTNMENUFUNCTIONINFO","페이지명/URL/아이콘/사용여부 수정 시 기본 VIEW 메타 동기화"
AdminSystemCodeController,/admin/system/page-management/delete,POST deletePageManagement,"AdminCodeManageService; AuthGroupManageService; MenuFeatureManageService",deletePageManagement;deleteAuthorFeatureRelationsByFeatureCode;deleteUserFeatureOverridesByFeatureCode;deleteMenuFeature,egovframework.com.feature.admin,"page_management.html; page_management_en.html","COMTCCMMNDETAILCODE; COMTNMENUINFO; COMTNMENUFUNCTIONINFO; COMTNAUTHORFUNCTIONRELATE; COMTNUSERFEATUREOVERRIDE","추가 액션 기능이 남아 있으면 삭제 차단, 없으면 기본 VIEW 권한 참조 정리 후 삭제"
