api_id,method,endpoint,actor,auth_rule,request_dto,response_dto,controller_action,service_method,state_effect,related_tables,external_integration,notes
USER-CERTIFICATE-REPORT-LIST-PAGE,GET,/certificate/report_list,USER,PUBLIC,None,React home shell page,HomeMenuFallbackController.homeMenuPlaceholder,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,COMTNMENUINFO,N,사용자 홈 fallback과 React route 매핑으로 보고서 및 인증서 목록 화면 진입
USER-CERTIFICATE-REPORT-LIST-PAGE-EN,GET,/en/certificate/report_list,USER,PUBLIC,None,React home shell page,HomeMenuFallbackController.homeMenuPlaceholder,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,COMTNMENUINFO,N,영문 사용자 보고서 및 인증서 목록 화면 진입
ADMIN-NEW-PAGE-PAGE,GET,/admin/system/new-page,ADMIN,A1900106_VIEW,None,React admin shell page,AdminSystemCodeController.newPage,React migration redirect,READ_ONLY_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,기본 관리자 스캐폴드 페이지 진입
ADMIN-NEW-PAGE-PAGE-EN,GET,/en/admin/system/new-page,ADMIN,A1900106_VIEW,None,React admin shell page,AdminSystemCodeController.newPage,React migration redirect,READ_ONLY_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 기본 관리자 스캐폴드 페이지 진입
COMMON-SITEMAP-PAGE,GET,/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,HMENU1 메뉴 트리와 공개 로그인·회원가입·회원사 가입 플로우를 읽어 사용자 사이트맵 HTML 렌더링
COMMON-SITEMAP-PAGE-EN,GET,/en/sitemap,USER,PUBLIC,None,Thymeleaf sitemap view,SiteMapPageController.sitemapEn,SiteMapService.getUserSiteMap,READ_ONLY_MENU_TREE,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",N,영문 사용자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE,GET,/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,현재 관리자 VIEW 권한으로 접근 가능한 관리자 사이트맵 HTML 렌더링
ADMIN-SITEMAP-PAGE-EN,GET,/en/admin/content/sitemap,ADMIN,ADMIN_SESSION,None,Thymeleaf sitemap view,AdminSiteMapController.sitemapEn,SiteMapService.getAdminSiteMap,READ_ONLY_MENU_TREE_WITH_PERMISSION,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 사이트맵 HTML 렌더링
ADMIN-POPUP-LIST-PAGE,GET,/admin/content/popup_list,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminPopupController.popupList,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,관리자 팝업 목록 React 화면 진입
ADMIN-POPUP-LIST-PAGE-EN,GET,/en/admin/content/popup_list,ADMIN,ADMIN_SESSION,None,React admin shell page,AdminPopupController.popupListEn,ReactAppViewSupport.render,READ_ONLY_MENU_ROUTE,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,영문 관리자 팝업 목록 React 화면 진입
ADMIN-POPUP-LIST-DATA,GET,/admin/api/admin/content/popup,ADMIN,ADMIN_SESSION,searchKeyword/status/targetAudience/selectedPopupId,PopupListPagePayload,AdminPopupController.popupListApi,AdminPopupManagementService.buildListPayload,READ_ONLY_POPUP_CATALOG,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",N,팝업 ID·상태·대상 사용자 기준으로 팝업 목록/요약/선택 상세 payload를 조회
