role_scope,menu_code,feature_code,screen_id,endpoint,data_scope,ui_actions,approval_authority,exceptions,notes
ROLE_ADMIN,AMENU1,MENU_MANAGEMENT_*,ADMIN-MENU-MANAGEMENT,/admin/content/menu,GLOBAL,"view,reorder,create-page,audit",N,"기존 화면은 숨김 우선","메뉴 관리가 페이지/기본 VIEW 자동 등록 허브 역할, 사이트맵 노출은 별도 메뉴에서 관리"
ROLE_ADMIN,AMENU1,PAGE_CODE_VIEW,ADMIN-PAGE-MANAGEMENT,/admin/system/page-management,GLOBAL,"view,create,update,delete",N,"권한 할당은 수동 검토","페이지 등록 시 기본 VIEW 기능 자동 생성, 삭제 시 기본 VIEW 참조 정리"
ROLE_ADMIN,AMENU1,FEATURE_CODE,ADMIN-FEATURE-MANAGEMENT,/admin/system/feature-management,GLOBAL,"view,create,delete",N,"새 기능은 자동 Role 부여 금지","기능 카탈로그는 전체 조회 기준이며 미할당 상태를 운영자에게 표시"
ROLE_ADMIN,A1900101,A1900101_VIEW|A1900101_EDIT,ADMIN-HELP-MANAGEMENT,/admin/system/help-management,GLOBAL,"view,edit",N,"ROLE_OPERATION_ADMIN 제외","도움말 운영과 수정 디렉션은 글로벌 관리자 롤에만 역할 매핑, 사용자 예외는 COMTNUSERFEATUREOVERRIDE로 별도 관리"
ROLE_ADMIN,A1900102,A1900102_VIEW,ADMIN-SR-WORKBENCH,/admin/system/sr-workbench,GLOBAL,"view",N,"생성/승인/실행 제외","일반 관리자는 SR 조회만 가능"
ROLE_SYSTEM_ADMIN,A1900102,A1900102_VIEW|A1900102_CREATE|A1900102_PREPARE,ADMIN-SR-WORKBENCH,/admin/system/sr-workbench,GLOBAL,"view,create,prepare",N,"승인/실행 제외","시스템 관리자는 SR 작성과 실행 준비까지만 가능"
ROLE_SYSTEM_MASTER,A1900102,A1900102_VIEW|A1900102_CREATE|A1900102_APPROVE|A1900102_PREPARE|A1900102_EXECUTE,ADMIN-SR-WORKBENCH,/admin/system/sr-workbench,GLOBAL,"view,create,approve,prepare,execute",Y,,"시스템 마스터는 전체 권한과 감사 책임 포함"
ROLE_SYSTEM_ADMIN,A1900106,A1900106_VIEW,ADMIN-NEW-PAGE,/admin/system/new-page,GLOBAL,view,N,,"시스템 관리자는 신규 화면 골격 확인 가능"
ROLE_SYSTEM_MASTER,A1900106,A1900106_VIEW,ADMIN-NEW-PAGE,/admin/system/new-page,GLOBAL,view,Y,,"시스템 마스터는 신규 화면 골격과 후속 작업 기준을 검토"
ROLE_SYSTEM_MASTER,AMENU_AUTH_GROUP,AUTH_GROUP_*,ADMIN-AUTH-GROUP,/admin/auth/group,GLOBAL,"view,create,assign,audit",Y,, "일반/부서/사용자 권한 그룹 전체 관리, 감사로그 필수"
ROLE_OPERATION_ADMIN,AMENU_AUTH_GROUP,AUTH_GROUP_SCOPED_*|DEPT_ROLE_MAPPING_*|MEMBER_EDIT_PERMISSION_*,ADMIN-AUTH-SCOPED,/admin/auth/group,INSTT_SCOPED,"view,create,assign,save",N,"본인 회사 범위만","운영 관리자는 본인 회사의 권한 그룹, 부서 권한, 회원 권한만 조정"
ROLE_COMPANY_ADMIN,AMENU_AUTH_GROUP,AUTH_GROUP_SCOPED_*,ADMIN-AUTH-GROUP,/admin/auth/group,INSTT_SCOPED,"view,create,assign",N,"GENERAL 권한 그룹 불가","현재 관리자에게 부여된 기능 범위 내에서만 기능 목록 노출/저장"
ROLE_SYSTEM_MASTER,AMENU_DEPT_ROLE,DEPT_ROLE_MAPPING_*,ADMIN-DEPT-ROLE-MAPPING,/admin/member/dept_role_mapping,GLOBAL,"view,assign,audit",Y,, "부서 권한 그룹과 일반 회원 권한 연결, 감사로그 필수"
ROLE_COMPANY_ADMIN,AMENU_DEPT_ROLE,DEPT_ROLE_MAPPING_SCOPED_*,ADMIN-DEPT-ROLE-MAPPING,/admin/member/dept_role_mapping,INSTT_SCOPED,"view,assign",N,"타 회사 접근 불가","instt_id 범위의 부서와 권한 그룹만 조회/매핑"
ROLE_COMPANY_ADMIN,AMENU_MEMBER_EDIT,MEMBER_EDIT_PERMISSION_*,ADMIN-MEMBER-EDIT,/admin/member/edit,INSTT_SCOPED,"view,update,assign",N,"본인 회사 회원만","회원 권한 수정 시 현재 관리자 grantable 기능만 노출, 저장 시 비관리 기능 보존"
ROLE_SYSTEM_MASTER,AMENU_ADMIN_PERMISSION,ADMIN_PERMISSION_*,ADMIN-ADMIN-ACCOUNT,/admin/member/admin_account,GLOBAL,"view,update,assign,audit",Y,, "관리자 권한 수정과 기능 예외권한 저장은 감사로그 필수"
ROLE_SYSTEM_MASTER,AMENU1,AMENU_SYSTEM_FULL_STACK_MANAGEMENT_*,ADMIN-FULL-STACK-MANAGEMENT,/admin/system/full-stack-management,GLOBAL,"view,inspect,create-page,reorder,audit",Y,"운영 콘솔 전용","메뉴-화면-이벤트-API-스키마-DB 컬럼 연결과 신규 페이지 생성은 시스템 마스터만 수행"
ROLE_ADMIN,AMENU_MEMBER,MEMBER_LIST_*|MEMBER_DETAIL_*|MEMBER_EDIT_*|MEMBER_APPROVE_*|COMPANY_APPROVE_*|COMPANY_LIST_*|COMPANY_DETAIL_*|COMPANY_ACCOUNT_*,ADMIN-MEMBER-OPS,/admin/member/list,GLOBAL,"view,update,approve",N,"권한 관리 제외","일반 관리자는 회원/회원사 조회, 수정, 승인 기본 업무를 수행"
