screen_id,element_id_or_selector,event_type,frontend_function,api_or_route,controller_action,service_method,mapper_query,related_table,auth_rule,notes
USER-CERTIFICATE-REPORT-LIST,"a[href=""/certificate/report_list""]",click,browser-navigation,/certificate/report_list,HomeMenuFallbackController.homeMenuPlaceholder,React route resolution,N/A,COMTNMENUINFO,PUBLIC,보고서 및 인증서 목록 대시보드 진입
USER-CERTIFICATE-REPORT-LIST,"[data-help-id=""certificate-report-list-filters""] input, [data-help-id=""certificate-report-list-filters""] select",input/change,setSearchKeyword/setStageFilter/setPriorityFilter,browser-local state,N/A,N/A,N/A,N/A,PUBLIC,검색어·단계·긴급도 필터를 로컬 상태로 반영해 문서 포트폴리오 표를 즉시 재구성
USER-CERTIFICATE-REPORT-LIST,"[data-help-id=""certificate-report-list-table""] a, [data-help-id=""certificate-report-list-workflow""] a",click,browser-navigation,"/emission/report_submit | /emission/data_input | /admin/certificate/review | /admin/certificate/rec_check",HomeMenuFallbackController.homeMenuPlaceholder / AdminMainController.adminFallback,React route resolution,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",PUBLIC,대시보드 카드와 목록 액션에서 작성·보완·검토 화면으로 이동
ADMIN-NEW-PAGE,"a[href=""/admin/system/new-page""]",click,browser-navigation,/admin/system/new-page,AdminSystemCodeController.newPage,React migration redirect,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A1900106_VIEW,기본 관리자 스캐폴드 페이지로 이동
COMMON-SITEMAP,"footer a[href=""/sitemap""]",click,browser-navigation,/sitemap,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,MenuInfoMapper.selectMenuTreeList,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",PUBLIC,홈 푸터 사이트맵 링크 클릭 시 사용자 사이트맵 화면으로 이동
ADMIN-CONTENT-SITEMAP,".js-admin-lnb a[href=""/admin/content/sitemap""]",click,browser-navigation,/admin/content/sitemap,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,"MenuInfoMapper.selectMenuTreeList + AuthGroupManageService permission checks","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_SESSION,관리자 LNB 또는 헤더 메뉴에서 사이트맵 화면으로 이동
ADMIN-POPUP-LIST,"[data-help-id=""popup-list-filters""] form",submit,fetchPopupListPage,"GET /admin/api/admin/content/popup",AdminPopupController.popupListApi,AdminPopupManagementService.buildListPayload,Popup seed + file override composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040203_VIEW,검색어·상태·대상 사용자 기준으로 팝업 목록과 요약 카드 payload를 다시 조회한다
ADMIN-POPUP-LIST,"[data-help-id=""popup-list-table""] tbody tr",click,selectPopupRow,"GET /admin/api/admin/content/popup",AdminPopupController.popupListApi,AdminPopupManagementService.buildListPayload,Popup seed + file override composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040203_VIEW,선택한 행 기준으로 우측 팝업 요약 카드와 URL query 상태를 동기화한다
ADMIN-POPUP-LIST,"[data-help-id=""popup-list-preview""] a[href*=""/admin/content/popup_edit""]",click,browser-navigation,/admin/content/popup_edit?popupId={popupId},AdminPopupController.popupEdit,ReactAppViewSupport.render,N/A,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_A0040203_VIEW,선택한 팝업 또는 신규 draft 팝업의 스케줄 편집 화면으로 이동한다
ADMIN-POPUP-EDIT,"window.location.search[popupId]",load,fetchPopupEditPage,"GET /admin/api/admin/content/popup/detail",AdminPopupController.popupEditApi,AdminPopupManagementService.buildEditPayload,Popup seed + file override composition,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A0040204_VIEW,popupId 기준으로 팝업 상세 payload와 옵션 목록을 조회해 편집 폼을 초기화한다
