screen_id,label,route,status,priority,owner_lane,primary_skill,required_closure
backup-execution,백업 실행,/admin/system/backup,PARTIAL,P0,COMMON_ADMIN_OPS,carbonet-fast-bootstrap-ops,"Execution-first console, guarded run action, live progress, result evidence, backup artifact registration, audit"
restore-execution,복구 실행,/admin/system/restore,PARTIAL,P0,COMMON_ADMIN_OPS,carbonet-fast-bootstrap-ops,"Restore-first workflow, selected artifact, preflight, dry-run, approval, restore execution, rollback evidence, post-restore proof"
external-keys,외부 인증키 관리,/admin/external/keys,PARTIAL,P0,COMMON_ADMIN_OPS,carbonet-feature-builder,"Issue, rotate, revoke, expiry policy, masked display, partner scope, secret-safe audit"
batch-management,배치 관리,/admin/system/batch,PARTIAL,P0,COMMON_ADMIN_OPS,carbonet-feature-builder,"Pause, resume, retry, queue drain, worker health links, run history, failure detail, audit"
db-sync-deploy,DB 동기화 배포,/admin/system/db-sync-deploy,PARTIAL,P0,COMMON_ADMIN_OPS,carbonet-fast-bootstrap-ops,"Analyze/validate-policy/server-up/history slices exist; real DB sync runner, production target controls, durable DB/deploy evidence, approval binding, EXECUTION_SOURCE enforcement remain"
infra,인프라,/admin/system/infra,PARTIAL,P1,COMMON_ADMIN_OPS,admin-screen-unifier,"Closeout gate and disabled action contract exist; topology/node registry, live health source, capacity thresholds, incident links, guarded remediation handoff remain"
performance,성능,/admin/system/performance,PARTIAL,P1,COMMON_ADMIN_OPS,carbonet-feature-builder,"Request/JVM diagnostics and disabled action contract exist; threshold management, alert rules, export, retention windows, trend comparison, incident linkage remain"
notification,알림센터,/admin/system/notification,PARTIAL,P1,GENERAL_ADMIN,carbonet-feature-builder,"Security notification routing save, production dispatch, and delivery/activity history exist; generic rule CRUD, recipient scoping, test dispatch, failed-delivery retry, generalized audit/permission contracts remain"
external-webhooks,웹훅 설정,/admin/external/webhooks,PARTIAL,P1,COMMON_ADMIN_OPS,carbonet-feature-builder,"Endpoint and delivery policy visibility exists; endpoint CRUD, signing-secret rotation, delivery test, replay, failure policy persistence, audit remain"
external-maintenance,점검 관리,/admin/external/maintenance,PARTIAL,P1,COMMON_ADMIN_OPS,carbonet-feature-builder,"Inventory, impact, fallback route, runbook visibility exists; maintenance window CRUD, approval/release, affected scope preview, notification plan, backlog replay, incident linkage, audit remain"
monitoring-center,운영센터,/admin/monitoring/center,PARTIAL,P1,COMMON_ADMIN_OPS,carbonet-feature-builder,"Operations status, summary cards, priority queue, widgets, recent actions, drill-down links exist; real metric source binding, incident acknowledgement, escalation, assignment, closeout history, audit remain"
sensor-list,센서 목록,/admin/monitoring/sensor_list,PARTIAL,P1,PROJECT_ADMIN,carbonet-feature-builder,"Monitoring-derived rows, filters, focused detail panel, activity feed, event/settings navigation exist; live inventory source shared with add/edit, status refresh, export, bulk enable/disable, audited authority gates remain"
external-schema,외부 스키마,/admin/external/schema,PARTIAL,P1,COMMON_ADMIN_OPS,carbonet-feature-builder,"Schema registry, filters, selected contract snapshot/copy, review checklist, review queue, quick links, guidance exist; schema version publish, compatibility tests, rollback, endpoint binding, change audit remain"
screen-flow-management,화면 흐름 관리,/admin/system/screen-flow-management,PARTIAL,P2,GENERAL_ADMIN,carbonet-screen-builder,"Screen catalog, selected metadata, surface/event/API/schema/permission chain inspection exist; flow CRUD, ordered transition editing, duplicate/cycle validation, version publish/rollback, linked menu/page/authority impact preview, audit remain"
screen-menu-assignment-management,화면-메뉴 귀속 관리,/admin/system/screen-menu-assignment-management,PARTIAL,P2,GENERAL_ADMIN,carbonet-screen-builder,"Menu inventory, assigned/unassigned/orphan visibility, selected assignment metadata, single menu mapping save exist; duplicate/conflict detection, authority impact preview, bulk mapping, rollback, audit evidence remain"
wbs-management,WBS 관리,/admin/system/wbs-management,PARTIAL,P2,GENERAL_ADMIN,carbonet-codex-execution-console,"Menu-backed WBS inventory, single-row plan save/update, planned/actual dates, variance metrics, Codex prompt copy/open, Excel download, and save audit recording exist; still need direct SR ticket creation/link sync, bulk update, and audit evidence query/export"
security-history,보안 이력,/admin/system/security,PARTIAL,P2,COMMON_ADMIN_OPS,admin-screen-unifier,"System-scope shared blocked-history console is documented; query/filter, detail context, operator action recording, linked security navigation, and IP block escalation exist; still need actual account unblock, policy exception enforcement, incident case linkage, and audit export"
new-page,새 페이지,/admin/system/new-page,SCAFFOLD,P3,GENERAL_ADMIN,carbonet-feature-builder,"Define target workflow, table/API, feature codes beyond VIEW, and owner lane before more UI"
external-connection-add,외부연계 등록,/admin/external/connection_add,SCAFFOLD,P3,COMMON_ADMIN_OPS,carbonet-feature-builder,"Keep as add-mode wrapper or add create-only validation, provisioning checklist, duplicate checks"
login-history,로그인 이력,/admin/member/login_history,SCAFFOLD,P3,GENERAL_ADMIN,admin-screen-unifier,"Keep as shared history alias or define login-history-specific filters/actions"
member-security-history,회원 접근 차단 이력,/admin/member/security,SCAFFOLD,P3,GENERAL_ADMIN,admin-screen-unifier,"Keep as shared history alias or define member-security-specific investigation/unblock actions"
