A001 회원·권한 /admin/member/list N N
A00101 회원 # N N
A0010101 회원 목록 /admin/member/list N N
A0010102 회원 등록 /admin/member/register N N
A0010103 회원 통계 /admin/member/stats N N
A0010104 탈퇴 회원 /admin/member/withdrawn N N
A0010105 휴면 계정 /admin/member/activate N N
A00102 회원사 # N N
A0010201 회원사 목록 /admin/member/company_list N N
A0010202 회원사 계정 /admin/member/company_account N N
A0010203 회원 승인 /admin/member/approve N N
A0010204 회원사 승인 /admin/member/company-approve N N
A00103 관리자·권한 # N N
A0010301 관리자 목록 /admin/member/admin_list N N
A0010302 관리자 생성 /admin/member/admin_account N N
A0010303 관리자 권한 /admin/member/admin_account/permissions N N
A0010304 권한 그룹 /admin/auth/group N N
A0010305 권한 변경 /admin/member/auth-change N N
A0010306 부서 권한 맵핑 /admin/member/dept-role-mapping N N
A0010307 비밀번호 초기화 /admin/member/reset_password N N
A002 배출량 관리 /admin/emission/site-management N N
A00201 기준정보 # N N
A0020101 배출지·배출원 원장 /admin/emission/site-management N N
A0020102 배출계수 관리 /admin/emission/factor-management N N
A0020103 산정식 관리 /admin/emission/calculation-rule N N
A0020104 입력 템플릿 관리 /admin/emission/input-template N N
A0020105 배출지 관리 /admin/emission/site-management N N
A00202 검증·승인 # N N
A0020201 검증 관리 /admin/emission/validate N N
A0020202 검증 규칙 관리 /admin/emission/validation-rule N N
A0020203 승인 워크플로우 관리 /admin/emission/approval-workflow N N
A00203 산정·보고 # N N
A0020301 산정 결과 관리 /admin/emission/result_list N N
A0020302 보고서 템플릿 관리 /admin/emission/report-template N N
A0020303 GWP 값 관리 /admin/emission/gwp-values N N
A0020304 ecoinvent 배출계수 관리 /admin/emission/ecoinvent N N
A00204 증빙·감사·연계 # N N
A0020401 증빙 관리 /admin/emission/evidence-management N N
A0020402 데이터 변경 이력 /admin/emission/data_history N N
A0020403 감사 로그 /admin/emission/audit-log N N
A0020404 외부 시스템 연계 /admin/emission/system-link N N
A00205 설문·LCA # N N
A0020501 배출 설문 관리 /admin/emission/survey-admin N N
A0020502 배출 설문 데이터셋 /admin/emission/survey-admin-data N N
A0020503 LCI 분류 관리 /admin/emission/lci-classification N N
A0020504 배출 정의 관리 /admin/emission/definition-studio N N
